WB-1044190	WB-1044191	WB-1044192
ENSG00000015479	199.451	199.457	199.462
ENSG00000015520	0	0	0
ENSG00000015532	0	0	0
ENSG00000015568	28.524	28.524	28.524
ENSG00000015592	109.999	109.999	109.999
ENSG00000015676	29	29	29
ENSG00000016082	13	13	13
ENSG00000016391	0	0	0
ENSG00000016402	0	0	0
ENSG00000016490	0	0	0
ENSG00000016602	0	0	0
ENSG00000016864	5	5	5
ENSG00000017260	34.001	33.999	34
ENSG00000017427	0	0	0
ENSG00000017483	1	1	1
ENSG00000017797	8	8	8
ENSG00000018189	92	92	92
ENSG00000018236	42	42	42
ENSG00000018280	1	1	1
ENSG00000018408	1	1	1
ENSG00000018510	15	15	15
ENSG00000018607	0	0	0
ENSG00000018610	5	5	5
ENSG00000018625	1	1	1
ENSG00000018699	3	3	3
ENSG00000018869	1	1	1
ENSG00000019102	0	0	0
ENSG00000019144	43.875	43.875	43.876
ENSG00000019169	0	0	0
ENSG00000019186	0	0	0
ENSG00000019485	13	13	13
ENSG00000019505	55	55	55
ENSG00000019549	0	0	0
ENSG00000019582	1	1	1
ENSG00000019991	0	0	0
ENSG00000019995	10	10	10
ENSG00000020129	37	37	37
ENSG00000020181	0	0	0
ENSG00000020219	0	0	0
ENSG00000020256	1.995	1.995	1.995
ENSG00000020426	1	1	1
ENSG00000020577	3	3	3
ENSG00000020633	0	0	0
ENSG00000020922	1	1	1
ENSG00000021300	1	1	1
ENSG00000021355	0	0	0
ENSG00000021461	0	0	0
ENSG00000021488	0	0	0
ENSG00000021574	24.004	24.005	24.005
ENSG00000021645	35	35.001	35
ENSG00000021762	22.999	23	23
ENSG00000021776	10	10	10
ENSG00000021826	1	1	1
ENSG00000021852	0	0	0
ENSG00000022267	55	54.999	55.001
ENSG00000022277	17	17	17
ENSG00000022355	3	3	3
ENSG00000022567	2	2	2
ENSG00000022840	44.001	44	44
ENSG00000022976	8	8	8
ENSG00000023041	2	2	2
ENSG00000023171	6	6	6
ENSG00000023228	21	21	21
ENSG00000023287	20	20	20
ENSG00000023318	7	7	7
ENSG00000023330	16	16	16
ENSG00000023445	0	0	0
ENSG00000023516	31	31	31
ENSG00000023572	0	0	0
ENSG00000023608	0	0	0
ENSG00000023697	0	0	0
ENSG00000023734	41	41	41
ENSG00000023839	0	0	0
ENSG00000023892	0	0	0
ENSG00000023902	34	34	34
ENSG00000023909	2	2	2
ENSG00000024048	12	12	12
ENSG00000024422	0	0	0
ENSG00000024526	1	1	1
ENSG00000024862	0	0	0
ENSG00000025039	10	10	10
ENSG00000025156	11	11	11
ENSG00000025293	14	14	14
ENSG00000025423	0	0	0
ENSG00000025434	0	0	0
ENSG00000025708	0	0	0
ENSG00000025770	20.745	20.744	20.744
ENSG00000025772	2	2	2
ENSG00000025796	23	23	23
ENSG00000025800	18	18	18
ENSG00000026025	51	51	51
ENSG00000026036	2.364	2.358	2.362
ENSG00000026103	1	1	1
ENSG00000026297	0	0	0
ENSG00000026508	0	0	0
ENSG00000026559	0	0	0
ENSG00000026652	32	32	32
ENSG00000026751	1	1	1
ENSG00000026950	5.003	5.003	5.003
ENSG00000027001	1	1	1
ENSG00000027075	0	0	0
ENSG00000027644	2	2	2
ENSG00000027697	7	7	7
ENSG00000027847	6	6	6
ENSG00000027869	0	0	0
ENSG00000028116	0	0	0
ENSG00000028137	0	0	0
ENSG00000028203	23	23	23
ENSG00000028277	21	21	21
ENSG00000028310	15	15	15
ENSG00000028528	15	15	15
ENSG00000028839	7	7	7
ENSG00000029153	3	3	3
ENSG00000029363	51	51	51
ENSG00000029364	18.999	19.001	19.001
ENSG00000029534	13	13	13
ENSG00000029559	0	0	0
ENSG00000029639	4	4	4
ENSG00000029725	41	41	41
ENSG00000029993	41	41	41
ENSG00000030066	19	19	19
ENSG00000030110	1	1	1
ENSG00000030304	0	0	0
ENSG00000030419	6	6	6
ENSG00000030582	8	8	8
ENSG00000031003	23	23	23
ENSG00000031081	0	0	0
ENSG00000031691	0	0	0
ENSG00000031698	39	39	39
ENSG00000031823	23.999	24	24
ENSG00000032219	18	18	18
ENSG00000032389	7	7	7
ENSG00000032444	2	2	2
ENSG00000032742	4	4	4
ENSG00000033011	3	3	3
ENSG00000033030	6	6	6
ENSG00000033050	12	12	12
ENSG00000033100	7	7	7
ENSG00000033122	11	11	11
ENSG00000033170	12	12	12
ENSG00000033178	12	12	12
ENSG00000033327	31	31	31
ENSG00000033627	71	71	71.001
ENSG00000033800	13	13	13
ENSG00000033867	17	17	17
ENSG00000034053	49.938	49.937	49.938
ENSG00000034152	3	3	3
ENSG00000034239	0	0	0
ENSG00000034510	230	230	230
ENSG00000034533	0	0	0
ENSG00000034677	1.848	1.849	1.849
ENSG00000034693	5	5	5
ENSG00000034713	22	22	22
ENSG00000034971	0	0	0
ENSG00000035115	7	7	7
ENSG00000035141	5	5	5
ENSG00000035403	8	8.001	8.001
ENSG00000035499	0	0	0
ENSG00000035664	0	0	0
ENSG00000035681	3	3	3
ENSG00000035687	16	16	16
ENSG00000035720	0	0	0
ENSG00000035862	68	68	68
ENSG00000035928	7	7	7
ENSG00000036054	8	8	8
ENSG00000036257	20	20	20
ENSG00000036448	1	1	1
ENSG00000036473	0	0	0
ENSG00000036530	5	5	5
ENSG00000036549	14	14	14
ENSG00000036565	0	0	0
ENSG00000036672	1	1	1
ENSG00000036828	0	0	0
ENSG00000037042	9.709	9.709	9.709
ENSG00000037241	4	4	4
ENSG00000037280	0	0	0
ENSG00000037474	12	12	12
ENSG00000037637	16	16	16
ENSG00000037749	9	9	9
ENSG00000037757	0	0	0
ENSG00000037897	3	3	3
ENSG00000037965	0	0	0
ENSG00000038002	0	0	0
ENSG00000038210	0	0	0
ENSG00000038219	36.001	36.001	36.001
ENSG00000038274	1	1	1
ENSG00000038295	0	0	0
ENSG00000038358	24	24	24
ENSG00000038382	93	93	93.001
ENSG00000038427	208	208	208
ENSG00000038532	7	7	7
ENSG00000038945	0	0	0
ENSG00000039068	0	0	0
ENSG00000039123	11	11	11
ENSG00000039139	1	1	1
ENSG00000039319	7	7	7
ENSG00000039523	26	26	26
ENSG00000039537	0	0	0
ENSG00000039560	1	1	1
ENSG00000039600	0	0	0
ENSG00000039650	5	5	5
ENSG00000039987	0	0	0
ENSG00000040199	13	13	13
ENSG00000040275	1	1	1
ENSG00000040341	18	18	18
ENSG00000040487	6.043	6.043	6.043
ENSG00000040531	3	3	3
ENSG00000040608	6	6	6
ENSG00000040633	7	7	7
ENSG00000040731	9	9	9
ENSG00000040933	22	22	22
ENSG00000041353	1	1	1
ENSG00000041357	28	27.999	27.999
ENSG00000041515	9	9	9
ENSG00000041802	7	7	7
ENSG00000041880	1	1	1
ENSG00000041982	3	3	3
ENSG00000041988	3	3	3
ENSG00000042062	0	0	0
ENSG00000042088	0	0	0
ENSG00000042286	1	1	1
ENSG00000042304	0	0	0
ENSG00000042317	4	4	4
ENSG00000042429	9	9.001	8.999
ENSG00000042445	2	2	2
ENSG00000042493	0	0	0
ENSG00000042753	9	9	8.999
ENSG00000042781	0	0	0
ENSG00000042813	0	0	0
ENSG00000042832	0	0	0
ENSG00000042980	0	0	0
ENSG00000043039	0	0	0
ENSG00000043093	8	8	8
ENSG00000043143	0	0	0
ENSG00000043355	29	29	29
ENSG00000043462	0	0	0
ENSG00000043514	7	7	7
ENSG00000043591	0	0	0
ENSG00000044012	0	0	0
ENSG00000044090	10	10	10
ENSG00000044115	21	20.999	21
ENSG00000044446	4	4	4
ENSG00000044459	2	2	2
ENSG00000044524	4	4	4
ENSG00000044574	65	65	65
ENSG00000046604	3	3	3
ENSG00000046647	2	2	2
ENSG00000046651	4	4	4
ENSG00000046653	63.999	64	64.001
ENSG00000046774	0	0	0
ENSG00000046889	1.913	1.914	1.914
ENSG00000047056	22	22	22
ENSG00000047188	15	15	15
ENSG00000047230	15	15	15
ENSG00000047249	13	13	13
ENSG00000047315	48	48	48
ENSG00000047346	9	9	9
ENSG00000047365	0	0	0
ENSG00000047410	61	61	61.001
ENSG00000047457	0	0	0
ENSG00000047578	4	4	4
ENSG00000047579	4	4	4
ENSG00000047597	1	1	1
ENSG00000047617	0	0	0
ENSG00000047621	7	7	7
ENSG00000047634	2	2	2
ENSG00000047644	7	7	7
ENSG00000047648	1	1	1
ENSG00000047662	0	0	0
ENSG00000047849	79	79	79.001
ENSG00000047932	15	15	15
ENSG00000047936	0	0	0
ENSG00000048028	1	1	1
ENSG00000048052	19.995	19.996	19.995
ENSG00000048140	24.999	25	25
ENSG00000048162	1	1	1
ENSG00000048342	2	2	2
ENSG00000048392	2	2	2
ENSG00000048405	1	1	1
ENSG00000048462	0	0	0
ENSG00000048471	10	10	10
ENSG00000048540	5	5	5
ENSG00000048544	10.022	10.022	10.022
ENSG00000048545	1	1	1
ENSG00000048649	32	32	32
ENSG00000048707	22	22	22
ENSG00000048740	75	75	75.001
ENSG00000048828	8	8	8
ENSG00000048991	38.009	38.009	38.009
ENSG00000049089	2	2	2
ENSG00000049130	4	4	4
ENSG00000049167	3.261	3.261	3.261
ENSG00000049192	0	0	0
ENSG00000049239	6	6	6
ENSG00000049245	10	10	10
ENSG00000049246	0	0	0
ENSG00000049247	0	0	0
ENSG00000049249	0	0	0
ENSG00000049283	0	0	0
ENSG00000049323	1	1	1
ENSG00000049449	17	17	17
ENSG00000049540	2	2	2
ENSG00000049541	0	0	0
ENSG00000049618	39	39	39
ENSG00000049656	14	14	14
ENSG00000049759	84.999	85	84.999
ENSG00000049768	0	0	0
ENSG00000049769	1	1	1
ENSG00000049860	1	1	1
ENSG00000049883	9	9	9
ENSG00000050030	18	18	18
ENSG00000050130	10	10	10
ENSG00000050165	9	9	9
ENSG00000050327	1	1	1
ENSG00000050344	1	1	1
ENSG00000050393	3	3	3
ENSG00000050405	2	2	2
ENSG00000050426	2	2	2
ENSG00000050438	78	78	78
ENSG00000050555	0	0	0
ENSG00000050628	0	0	0
ENSG00000050730	2	2	2
ENSG00000050748	22	22	22
ENSG00000050767	0	0	0
ENSG00000050820	18	18	18
ENSG00000051009	8	8	8
ENSG00000051108	8	8	8
ENSG00000051128	1	1	1
ENSG00000051180	0	0	0
ENSG00000051341	0	0	0
ENSG00000051382	3	3	3
ENSG00000051523	0	0	0
ENSG00000051596	4.356	4.356	4.356
ENSG00000051620	2	2	2
ENSG00000051825	5	5	5
ENSG00000052126	22	22	22
ENSG00000052344	0	0	0
ENSG00000052723	9	9	9
ENSG00000052749	8	8	8
ENSG00000052795	47	47	47
ENSG00000052802	8	8	8
ENSG00000052841	24	24	24
ENSG00000052850	0	0	0
ENSG00000053108	12	12	12
ENSG00000053254	26	26	26
ENSG00000053328	0	0	0
ENSG00000053371	2	2	2
ENSG00000053372	9.997	9.997	9.997
ENSG00000053438	0	0	0
ENSG00000053501	3	3	3
ENSG00000053524	7	7	7
ENSG00000053702	0	0	0
ENSG00000053747	0	0	0
ENSG00000053770	16	16	16
ENSG00000053900	5	5	5
ENSG00000053918	0	0	0
ENSG00000054116	6	6	6
ENSG00000054118	24	24	24.001
ENSG00000054148	19	19	19
ENSG00000054179	0	0	0
ENSG00000054219	0	0	0
ENSG00000054267	17	17	17
ENSG00000054277	0	0	0
ENSG00000054282	2	2	2
ENSG00000054356	38.999	38.999	39
ENSG00000054523	189	189	189
ENSG00000054598	0	0	0
ENSG00000054611	4	4	4
ENSG00000054654	40.063	40.061	40.061
ENSG00000054690	8.001	8.001	8.002
ENSG00000054793	148	148	148
ENSG00000054796	0	0	0
ENSG00000054803	0	0	0
ENSG00000054938	0	0	0
ENSG00000054965	74	74	74
ENSG00000054967	4	4	4
ENSG00000054983	5	5	5
ENSG00000055044	12	12	12
ENSG00000055070	22	22	22
ENSG00000055118	15	15	15
ENSG00000055130	15	15	15
ENSG00000055147	0	0	0
ENSG00000055163	92.999	93	93.001
ENSG00000055208	9	9	9
ENSG00000055211	1	1	1
ENSG00000055332	7	7	7
ENSG00000055483	8	8	8
ENSG00000055609	48	47.999	48
ENSG00000055732	0	0	0
ENSG00000055813	7	7	7
ENSG00000055917	41	41	41
ENSG00000055950	4	4	4
ENSG00000055955	0.927	0.927	0.927
ENSG00000055957	0	0	0
ENSG00000056050	5	5	5
ENSG00000056097	37	37	37
ENSG00000056277	4	4	4
ENSG00000056291	0	0	0
ENSG00000056487	17	17	17
ENSG00000056558	2	2	2
ENSG00000056586	29	29	29
ENSG00000056736	0	0	0
ENSG00000056972	0	0	0
ENSG00000056998	8	8	8
ENSG00000057019	30	30	30
ENSG00000057149	0	0	0
ENSG00000057252	5	5	5
ENSG00000057294	0	0	0
ENSG00000057468	0	0	0
ENSG00000057593	0	0	0
ENSG00000057608	41	41	41
ENSG00000057657	0	0	0
ENSG00000057663	3	3	3
ENSG00000057704	2	2	2
ENSG00000057757	18	18	18
ENSG00000057935	22	22	22
ENSG00000058056	4	4	4
ENSG00000058063	10	10	10
ENSG00000058085	0	0	0
ENSG00000058091	17	17	17
ENSG00000058262	49	49	49
ENSG00000058272	14	14	14
ENSG00000058335	18	18	18
ENSG00000058404	33	33	33
ENSG00000058453	7.281	7.281	7.281
ENSG00000058600	7	7	7
ENSG00000058668	28	28	28
ENSG00000058673	48.001	48	48
ENSG00000058729	9	9	9
ENSG00000058799	4	4	4
ENSG00000058804	4	4	4
ENSG00000058866	1	1	1
ENSG00000059122	11	10.999	11
ENSG00000059145	2	2	2
ENSG00000059377	0	0	0
ENSG00000059378	0	0	0
ENSG00000059573	14	14	14
ENSG00000059588	16	16	16
ENSG00000059691	2	2	2
ENSG00000059728	9	9	9
ENSG00000059758	16	16	16
ENSG00000059769	3	3	3
ENSG00000059804	18	18	18
ENSG00000059915	36	36	36
ENSG00000060069	0	0	0
ENSG00000060138	3	3	3
ENSG00000060140	0	0	0
ENSG00000060237	56	56	56
ENSG00000060303	0	0	0
ENSG00000060339	11	11	11
ENSG00000060491	4	4	4
ENSG00000060558	0	0	0
ENSG00000060566	0	0	0
ENSG00000060642	1	1	1
ENSG00000060656	16	16	16
ENSG00000060688	8	8	8
ENSG00000060709	0	0	0
ENSG00000060718	4	4	4
ENSG00000060749	20	20	20
ENSG00000060762	2	2	2
ENSG00000060971	7	7	7
ENSG00000060982	41	41	41
ENSG00000061273	14	14	14
ENSG00000061337	24	24	24
ENSG00000061455	0	0	0
ENSG00000061492	0	0	0
ENSG00000061656	0	0	0
ENSG00000061676	61	61	61
ENSG00000061794	9	9	9
ENSG00000061918	3	3	3
ENSG00000061936	14.999	14.999	14.999
ENSG00000061938	12	12	12
ENSG00000061987	13	13	13
ENSG00000062038	1	1	1
ENSG00000062096	0	0	0
ENSG00000062194	40	39.999	40.001
ENSG00000062282	1	1	1
ENSG00000062370	9	9	9
ENSG00000062485	53	53.001	53
ENSG00000062524	0	0	0
ENSG00000062582	6	6	6
ENSG00000062598	21	21	21
ENSG00000062650	10	10	10
ENSG00000062716	15	15	15
ENSG00000062725	20	20	20
ENSG00000062822	1	1	1
ENSG00000063015	35	35	35
ENSG00000063046	75	75	75
ENSG00000063127	0	0	0
ENSG00000063169	10	10	10
ENSG00000063176	3	3	3
ENSG00000063177	57	57	57
ENSG00000063180	17	17	17
ENSG00000063241	2	2	2
ENSG00000063244	32	32	32
ENSG00000063245	29.024	29.024	29.024
ENSG00000063322	13.041	13.041	13.041
ENSG00000063438	0	0	0
ENSG00000063515	0	0	0
ENSG00000063587	15	15	15
ENSG00000063601	18	18	18
ENSG00000063660	53	53	53
ENSG00000063761	0	0	0
ENSG00000063854	10	10	10
ENSG00000063978	24	24	24
ENSG00000064012	0	0	0
ENSG00000064042	16	16	16
ENSG00000064102	3	3	3
ENSG00000064115	3	3	3
ENSG00000064195	0	0	0
ENSG00000064199	0	0	0
ENSG00000064201	0	0	0
ENSG00000064205	0	0	0
ENSG00000064218	1	1	1
ENSG00000064225	1	1	1
ENSG00000064270	0	0	0
ENSG00000064300	10	10	10
ENSG00000064309	11	11	11
ENSG00000064313	14	14	14
ENSG00000064393	65	65	65
ENSG00000064419	26	26	26
ENSG00000064489	3.835	3.836	3.836
ENSG00000064490	1	1	1
ENSG00000064545	6	6	6
ENSG00000064547	9	9	9
ENSG00000064601	7	7	7
ENSG00000064607	71.994	71.994	71.994
ENSG00000064651	1	1	1
ENSG00000064652	4	4	4
ENSG00000064655	0	0	0
ENSG00000064666	18	18	18
ENSG00000064687	6	6	6
ENSG00000064692	13	13	13
ENSG00000064703	7	7	7
ENSG00000064726	19	19	19
ENSG00000064763	0	0	0
ENSG00000064787	0	0	0
ENSG00000064835	0	0	0
ENSG00000064886	0	0	0
ENSG00000064932	0	0	0
ENSG00000064933	0	0	0
ENSG00000064961	1	1	1
ENSG00000064989	0	0	0
ENSG00000064995	9	9	9
